"ITI"	"VisualStimulus"	"AuditoryStimulus"	"BlockNo"	"subject"	"pbn"	"age"	"sex"	"handedness"	"opticalaids"	"FirstRT"	"FirstKey"	"FinalRT"	"condition"	"error"
"126"	792	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	377.148188	3	377.148188	"A"	FALSE
"127"	1077	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	219.146564	3	219.146564	"AV"	FALSE
"128"	1142	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	279.265733	1	287.293709	"A"	FALSE
"129"	674	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	344.43333	2	360.357027	"V"	FALSE
"130"	798	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	257.193239	3	257.193239	"V"	FALSE
"131"	1191	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	222.097096	3	222.097096	"A"	FALSE
"132"	956	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	360.979452	2	376.889749	"V"	FALSE
"133"	783	" true "	" false "	3	1	1	26	" f "	" r "	" cl "	288.013475	2	295.953529	"V"	FALSE
"134"	820	" false "	" true "	3	1	1	26	" f "	" r "	" cl "	424.495223	2	440.574486	"A"	FALSE
"135"	783	" true "	" true "	3	1	1	26	" f "	" r "	" cl "	263.923871	1	271.756082	"AV"	FALSE
"136"	638	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	342.945697	2	350.901968	"V"	FALSE
"137"	1379	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	909.176227	1	933.415646	"AV"	FALSE
"138"	1368	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	216.468897	1	224.424045	"AV"	FALSE
"139"	1432	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	234.762422	3	234.762422	"A"	FALSE
"140"	736	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	273.221681	2	289.158389	"AV"	FALSE
"141"	1043	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	274.976514	2	282.866764	"AV"	FALSE
"142"	1448	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	317.048246	1	333.521836	"V"	FALSE
"143"	509	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	453.964915	3	453.964915	"A"	FALSE
"144"	732	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	291.732165	2	299.777242	"AV"	FALSE
"145"	786	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	392.072909	2	408.08439	"A"	FALSE
"146"	652	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	293.754123	3	293.754123	"V"	FALSE
"147"	1104	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	226.062188	3	226.062188	"AV"	FALSE
"148"	781	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	229.08339	2	245.249529	"AV"	FALSE
"149"	1096	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	209.012226	2	224.98435	"AV"	FALSE
"150"	723	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	258.82381	3	258.82381	"V"	FALSE
"151"	710	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	232.25557	1	256.366106	"V"	FALSE
"152"	1345	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	411.608399	2	414.14831	"A"	FALSE
"153"	664	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	266.614702	1	282.598139	"V"	FALSE
"154"	733	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	421.253987	2	429.290472	"A"	FALSE
"155"	909	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	456.100095	1	472.720974	"A"	FALSE
"156"	705	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	277.968223	1	318.386917	"AV"	FALSE
"157"	735	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	282.030903	1	290.048847	"V"	FALSE
"158"	1054	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	245.744387	2	293.756915	"A"	FALSE
"159"	1314	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	295.922773	2	311.919298	"A"	FALSE
"160"	1191	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	455.109758	2	479.130118	"A"	FALSE
"161"	801	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	277.540124	3	277.540124	"A"	FALSE
"162"	1294	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	301.206504	3	301.206504	"V"	FALSE
"163"	1400	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	252.166483	2	268.182758	"AV"	FALSE
"164"	1329	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	230.889854	1	238.887251	"V"	FALSE
"165"	863	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	253.037935	2	260.844607	"V"	FALSE
"166"	1472	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	275.360549	1	291.330733	"V"	FALSE
"167"	646	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	267.399985	2	275.379481	"AV"	FALSE
"168"	1132	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	475.899856	1	483.891147	"A"	FALSE
"169"	864	" true "	" false "	4	1	1	26	" f "	" r "	" cl "	318.096042	1	326.509481	"V"	FALSE
"170"	819	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	354.986209	3	354.986209	"A"	FALSE
"171"	1139	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	263.243095	3	263.243095	"AV"	FALSE
"172"	896	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	300.49119	2	324.746356	"A"	FALSE
"173"	804	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	315.235162	2	331.174282	"A"	FALSE
"174"	719	" false "	" true "	4	1	1	26	" f "	" r "	" cl "	470.017262	3	470.017262	"A"	FALSE
"175"	1185	" true "	" true "	4	1	1	26	" f "	" r "	" cl "	283.413594	3	283.413594	"AV"	FALSE
